Scope 1,,,,
,,,,
Mobile Combustion,,,,
Fuel,Emission Factor,Unit,Activity Unit,Source
Waste oils,0.27459,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
Waste oils,0.25641,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Marine gas oil,3245.30441,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,2.77139,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.27445,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.25798,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Marine fuel oil,3154.75334,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,3.10202,kg CO₂e/litre,litre,UK Gov GHG Conversion Factors 2025
,0.27869,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.26197,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Coal (industrial),2395.28994,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,0.33944,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.32246,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Coal (domestic),2904.95234,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,0.36549,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.34721,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Coking coal,3164.65002,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,0.37675,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.35790,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
Petroleum coke,3386.57168,kg CO₂e/tonne,tonne,UK Gov GHG Conversion Factors 2025
,0.35887,kg CO₂e/kWh (gross CV),kWh (gross CV),UK Gov GHG Conversion Factors 2025
,0.34092,kg CO₂e/kWh (net CV),kWh (net CV),UK Gov GHG Conversion Factors 2025
,,,,
Wood logs,46.98508,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01150,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Wood chips,43.43964,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01150,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Wood pellets,55.19389,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01150,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Grass/straw,47.35709,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.01273,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
,,,,
Biogas,1.24314,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.00022,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
Landfill gas,0.69696,kg CO₂e/tonne,tonnes,UK Gov GHG Conversion Factors 2025
,0.00020,kg CO₂e/kWh ,kWh,UK Gov GHG Conversion Factors 2025
,,,,
,,,,
,,,,
,,,,
,,,,
Fugitive Emissions,,,,
Refrigant/Gas,Emisson Factor (Inc. Non Kyoto Products),Unit,Activity Unit,Source
Carbon dioxide,1.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Methane,28.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
Nitrous oxide,265.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-23,12400.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-32,677.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-41,116.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-125,3170.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-134,1120.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-134a,1300.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-143,328.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-143a,4800.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-152a,138.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
HFC-227ea,3350.00000,kg CO₂e/kg,kg,UK Gov GHG Conversion Factors 2025
